Data set,"Authors collaborating with Xu, C. C."
Entity,"Xu, C. C."
Year range,2022 to 2025
Subject classification,"ASJC"
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,16 July 2025
Date exported,28 July 2025

Author numbers,<= 10

Author,Institution ID,Institution,Sector,Co-authored publications,Citations,Citations per Publication,Field-Weighted Citation Impact,Scopus author ID
"Jiang†, Haiwei",-,"Jiangxi Academy of Sciences",-,2,30,15.0,1.14,57218647546
"Johnson, Anthony Tosan",501052,"Western University",academic,2,28,14.0,1.18,57895145000
"Khatiwada, Janak Raj",501014,"Lakehead University",academic,2,38,19.0,1.65,56611859800
"Leng, Songqi",501052,"Western University",academic,2,11,5.5,0.47,57201156472
"Li, Baojun",203245,"Zhengzhou University",academic,2,56,28.0,1.55,57215374509
"Li, Hu",203073,"Guizhou University",academic,2,148,74.0,2.15,35933455300
"Li, Jiaxin",203007,"Anhui University of Technology",academic,2,16,8.0,2.35,14123595400
"Lin, Carol Sze Ki",205002,"City University of Hong Kong",academic,2,8,4.0,1.64,57204760033
"Liu, Xiaolong",203286,"CAS - Institute of Process Engineering",academic,2,48,24.0,4.53,56162827700
"Luo, Yangfeng",203047,"Chongqing University",academic,2,0,0.0,0.00,35215654800
"Ma, Zixu",203245,"Zhengzhou University",academic,2,40,20.0,4.16,57295476100
"Mou, Jinhua",205002,"City University of Hong Kong",academic,2,8,4.0,1.64,57210261255
"Nazari, Laleh",501019,"National Research Council of Canada",government,2,27,13.5,3.72,22938489900
"Pan, Zhiyan",203244,"Zhejiang University of Technology",academic,2,19,9.5,0.39,7402644582
"Qi, Liying",703994,"Hebei University of Engineering",academic,2,6,3.0,1.00,57201958880
"Qin, Zihao",205002,"City University of Hong Kong",academic,2,8,4.0,1.64,57217021562
"Qiu, Xueqing",203066,"Guangdong University of Technology",academic,2,231,115.5,4.47,7402545386
"Que, Zhigang",-,"Jiangxi Academy of Sciences",-,2,19,9.5,0.85,56421990600
"Ren, Shan",203223,"Xi'an Jiaotong University",academic,2,14,7.0,1.38,54783204800
"Shao, Yuanyuan",315090,"University of Nottingham",academic,2,0,0.0,0.00,35319045000
"Shen, Taizong",501052,"Western University",academic,2,11,5.5,0.47,59367508000
"Shi, Jinming",-,"Jiangxi Academy of Sciences",-,2,19,9.5,0.85,55491818800
"Si, Linqi",203245,"Zhengzhou University",academic,2,138,69.0,5.98,57247021400
"Sosa, Dennise",501052,"Western University",academic,2,28,14.0,1.18,57894411500
"Sun, Dalin",203073,"Guizhou University",academic,2,38,19.0,12.49,59452963000
"Sun, Zhiwei",203245,"Zhengzhou University",academic,2,40,20.0,4.21,58550917500
"Venkateswara Rao, Kasanneni Tirumala Venkateswar",315086,"University of Liverpool",academic,2,32,16.0,1.39,37089562800
"Wang, Caiwei",203069,"Guangxi University",academic,2,231,115.5,4.47,57198770633
"Wang, Hao",203073,"Guizhou University",academic,2,121,60.5,9.68,57210159341
