Data set,"Authors collaborating with Yuan, Zhiguo"
Entity,"Yuan, Zhiguo"
Year range,2022 to 2025
Subject classification,"ASJC"
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,16 July 2025
Date exported,28 July 2025

Author numbers,<= 10

Author,Institution ID,Institution,Sector,Co-authored publications,Citations,Citations per Publication,Field-Weighted Citation Impact,Scopus author ID
"Li, Jie",201029,"University of Queensland",academic,2,36,18.0,2.28,59450164200
"Li, Jie",201029,"University of Queensland",academic,2,58,29.0,1.57,59791101100
"Li, Wei",201032,"University of Sydney",academic,2,32,16.0,1.16,57214815586
"Li, Xuan",201034,"University of Technology Sydney",academic,2,20,10.0,0.56,57194014345
"Li, Yijing",201029,"University of Queensland",academic,2,39,19.5,1.39,57219779297
"Liao, Zhengliang",203208,"Tongji University",academic,2,10,5.0,1.90,18634726300
"Lloyd, James",704458,"State Government of Victoria",government,2,19,9.5,2.08,57190971793
"Ma, Yicheng",201029,"University of Queensland",academic,2,9,4.5,1.11,57221057854
"Maulani, Nova",201029,"University of Queensland",academic,2,20,10.0,1.83,57218897380
"Ni, Bing-Jie",201027,"University of New South Wales",academic,2,79,39.5,2.68,21934587500
"Ni, Gaofeng",201015,"Monash University",academic,2,26,13.0,0.79,57188838169
"Niu, Chenkai",201029,"University of Queensland",academic,2,44,22.0,3.17,58664104200
"Oehmen, Adrian M.",201029,"University of Queensland",academic,2,7,3.5,0.30,6507555765
"Rebosura, Mario Jr Robles",201029,"University of Queensland",academic,2,11,5.5,0.40,57204142120
"Rodriguez, Mayra",315076,"University of Exeter",academic,2,32,16.0,2.63,57211892158
"Thai, Phong K.",201029,"University of Queensland",academic,2,39,19.5,1.39,57197775331
"Tian, Wenchong",205002,"City University of Hong Kong",academic,2,10,5.0,1.90,57195956437
"Wang, Hui",203435,"SINOPEC",corporate,2,33,16.5,1.81,55938810700
"Wang, Yulu",201029,"University of Queensland",academic,2,25,12.5,1.11,57217534841
"Wu, Ziping",201029,"University of Queensland",academic,2,18,9.0,0.89,57278921100
"Xia, Jun",203213,"University of Science and Technology of China",academic,2,7,3.5,2.71,57215643114
"Xing, Yaxin",203209,"Tsinghua University",academic,2,27,13.5,1.12,57403013200
"Zhang, Zhiyu",205002,"City University of Hong Kong",academic,2,10,5.0,1.90,57818657900
"Zhao, Yingfen",201029,"University of Queensland",academic,2,33,16.5,1.12,57192923286
"Zheng, Yue",203222,"Xiamen University",academic,2,20,10.0,1.83,35308543500
"Zhong, Jiexi",201029,"University of Queensland",academic,2,184,92.0,5.11,57222654897
"van Loosdrecht, Mark C.M.",325001,"Delft University of Technology",academic,2,17,8.5,1.36,57219768550
"van den Akker, Ben",201030,"University of South Australia",academic,2,91,45.5,3.85,24598275200
"Ab Hamid, Nur Hafizah",211007,"Universiti Teknologi Malaysia",academic,1,24,24.0,1.26,57204834044
"Bagg, Wayne K.",508773,"Waters Corporation",corporate,1,0,0.0,0.00,6701702617
"Bai, Mei",201025,"University of Melbourne",academic,1,4,4.0,0.45,56202803700
"Batstone, Damien John",201029,"University of Queensland",academic,1,3,3.0,0.77,6601959464
"Bell, John M.",201031,"University of Southern Queensland",academic,1,40,40.0,1.59,58363476100
"Bu, Hao",201029,"University of Queensland",academic,1,23,23.0,1.63,57217354980
"Cai, Fangrui",201029,"University of Queensland",academic,1,16,16.0,3.20,57206857923
"Carvalho, Gilda S.",201029,"University of Queensland",academic,1,23,23.0,1.63,14627363400
"Chang, Xiaomin",201032,"University of Sydney",academic,1,12,12.0,0.90,57204732114
"Chen, Deli",201025,"University of Melbourne",academic,1,4,4.0,0.45,57201905289
"Chen, Season Si",203209,"Tsinghua University",academic,1,5,5.0,2.71,57161533100
"Chen, Tong",704658,"China Academy of Chinese Medical Sciences",academic,1,76,76.0,3.99,57196727070
"Chen, Xiuli",203152,"Peking University",academic,1,2,2.0,0.53,57223012757
"Chen, Yan",201037,"University of Wollongong",academic,1,1,1.0,0.09,57432006500
"Cheng, Dong",203244,"Zhejiang University of Technology",academic,1,12,12.0,1.32,56861649600
"Choi, Phil M.",201071,"Queensland Health",government,1,1,1.0,0.09,57202604068
"Daelman, Matthijs R.J.",325001,"Delft University of Technology",academic,1,2,2.0,0.91,38861406700
"Daims, Holger",301013,"University of Vienna",academic,1,22,22.0,2.66,6602614813
"Ding, Yaxin",205002,"City University of Hong Kong",academic,1,1,1.0,1.57,59513207200
"Domingo-Félez, Carlos",315078,"University of Glasgow",academic,1,3,3.0,1.36,55789697000
"Dwyer, Jason",-,"Urban Utilities",-,1,15,15.0,3.71,57210504528
"Flesch, Thomas K.",501035,"University of Alberta",academic,1,4,4.0,0.45,6602858717
"Guo, Hongguang",203186,"Sichuan University",academic,1,64,64.0,3.36,55468658900
"Guo, Miao",315026,"King's College London",academic,1,12,12.0,1.32,55612110400
"Gutierrez, Oriol",312056,"University of Girona",academic,1,2,2.0,0.91,23984500900
"Hanžič, Lucija",-,"Slovenian National Building and Civil Engineering Institute",-,1,19,19.0,1.03,9244593900
"He, Bingqing",201029,"University of Queensland",academic,1,5,5.0,0.45,57274303600
"Heffernan, James K.",201029,"University of Queensland",academic,1,26,26.0,2.53,57219829275
"Hu, Lihan",203095,"Hohai University",academic,1,1,1.0,1.57,57259047800
"Huang, Casey K.",201029,"University of Queensland",academic,1,23,23.0,1.63,57226447432
"Jin, Yiwen",315076,"University of Exeter",academic,1,214,214.0,5.51,57847529300
"Jin, Yutong",-,"Hohai University Changzhou",-,1,19,19.0,2.11,57199283625
"Johnson, Ian",-,"City of Gold Coast",-,1,19,19.0,1.03,56816408900
"Joyce, Georgina H.",201018,"Queensland University of Technology",academic,1,31,31.0,3.18,58626694500
"Ke, Yanchu",203343,"Fujian Agriculture and Forestry University",academic,1,2,2.0,0.53,57196001808
"Kuang, Yizhu",201031,"University of Southern Queensland",academic,1,40,40.0,1.59,55974780000
"Kulandaivelu, Jagadeeshkumar",201029,"University of Queensland",academic,1,1,1.0,0.09,57209134689
"Lam, Jason Chun Ho",205002,"City University of Hong Kong",academic,1,5,5.0,2.71,57193525410
"Lang, Longqi",703002,"Institut national des sciences appliquées de Toulouse",academic,1,3,3.0,1.36,56489888300
"Lant, Paul A.",201029,"University of Queensland",academic,1,19,19.0,2.11,7003656511
"Laycock, Bronwyn G.",201029,"University of Queensland",academic,1,19,19.0,2.11,23067654200
"Lenzen, Manfred",201032,"University of Sydney",academic,1,19,19.0,2.11,7003767895
"Leu, Shao-Yuan",205004,"Hong Kong Polytechnic University",academic,1,5,5.0,2.71,57203804820
"Li, Huijuan",201029,"University of Queensland",academic,1,3,3.0,0.77,59883097300
"Li, Jiaying",201032,"University of Sydney",academic,1,10,10.0,1.10,57195284216
"Li, Jiyun",203209,"Tsinghua University",academic,1,11,11.0,1.44,56526823900
