Data set,"Authors collaborating with Horton, Benjamin Peter"
Entity,"Horton, Benjamin Peter"
Year range,2022 to 2025
Subject classification,"ASJC"
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,16 July 2025
Date exported,28 July 2025

Author numbers,<= 10

Author,Institution ID,Institution,Sector,Co-authored publications,Citations,Citations per Publication,Field-Weighted Citation Impact,Scopus author ID
"Little, Christopher M.",711040,"Atmospheric and Environmental Research, Inc.",corporate,1,42,42.0,2.81,14018424200
"Lopes Dos Santos, Raquel Alfama",315125,"British Geological Survey",government,1,0,0.0,0.00,36617887600
"Mahdi, Saiful",701288,"Universitas Syiah Kuala",academic,1,12,12.0,2.21,57193885090
"Marques, Mateus",319004,"Maynooth University",academic,1,1,1.0,0.44,58110472200
"Martin, Patrick",215003,"Nanyang Technological University",academic,1,0,0.0,0.00,56446075900
"McDonagh, Elaine L.",315097,"University of Southampton",academic,1,3,3.0,1.01,6603728963
"Melini, Daniele",321009,"Istituto Nazionale Di Geofisica E Vulcanologia",government,1,0,0.0,0.00,6507415839
"Milker, Yvonne",309075,"University of Hamburg",academic,1,2,2.0,0.25,35099128000
"Monge-Ganuzas, Manu",-,"Urdaibai Biosphere Reserve",-,1,5,5.0,1.02,25031930400
"Mosbach, Sebastian",315068,"University of Cambridge",academic,1,0,0.0,0.00,8704085300
"Moss-Hayes, Vicky L.",315125,"British Geological Survey",government,1,0,0.0,0.00,21234103700
"Mujah, Ibrahim",-,"Maldives Ministry of Tourism",-,1,15,15.0,1.41,57224354585
"Mundir, Ibnu",-,"International Centre for Aceh and Indian Ocean Studies",-,1,12,12.0,2.21,57195262154
"Nathan, Yudhishthra",215003,"Nanyang Technological University",academic,1,0,0.0,0.00,57219438038
"Nikitina, Daria L.",508776,"West Chester University",academic,1,5,5.0,1.02,6506046972
"Ninglekhu, Sabin",-,"Independent Researcher",-,1,12,12.0,2.21,56419885000
"Palmer, Matthew D.",315161,"Met Office",government,1,0,0.0,0.00,7401916795
"Parnell, Andrew C.",319008,"University College Dublin",academic,1,1,1.0,0.44,24473547900
"Peltier, William Richard",501048,"University of Toronto",academic,1,15,15.0,1.59,7102011703
"Peng, Dongju",205004,"Hong Kong Polytechnic University",academic,1,4,4.0,1.16,25947782700
"Phua, Shin Zert",315068,"University of Cambridge",academic,1,0,0.0,0.00,58962679500
"Richter, Kristin",714340,"Norwegian Research Centre",academic,1,3,3.0,1.01,56305160500
"Sarti, Danilo Augusto",-,"Unknown institution",-,1,1,1.0,0.44,57224785213
"Shoari Nejad, Amin",319004,"Maynooth University",academic,1,1,1.0,0.44,57895570000
"Sosa, Sarah E.",508199,"Rowan University",academic,1,7,7.0,0.99,58117244000
"Spada, Giorgio",321040,"University of Bologna",academic,1,0,0.0,0.00,7004402835
"Steve, Yim Hung Lam",215003,"Nanyang Technological University",academic,1,0,0.0,0.00,59544973100
"Stuhne, Gordan R.",501048,"University of Toronto",academic,1,15,15.0,1.59,6602854759
"Sung, Joseph J.Y.",215003,"Nanyang Technological University",academic,1,0,0.0,0.00,59588348100
"Tan, Christabel Wan Jie",215003,"Nanyang Technological University",academic,1,7,7.0,0.99,58117751800
"Tsai, Yikai",315068,"University of Cambridge",academic,1,0,0.0,0.00,58602349800
"Vacchi, M.",321062,"University of Pisa",academic,1,0,0.0,0.00,55319802900
"Vairagi, Vedant",315094,"University of Reading",academic,1,3,3.0,1.01,58917736800
"Vane, Christopher H.",315125,"British Geological Survey",government,1,0,0.0,0.00,7004688859
"Wang, Jingyu",215003,"Nanyang Technological University",academic,1,0,0.0,0.00,59781210600
"Weaver, Mackenzie M.",508331,"University of Pennsylvania",academic,1,6,6.0,1.76,58174092600
"Weeks, Jennifer H.",315161,"Met Office",government,1,0,0.0,0.00,57786977300
"Yan, Jingya",315068,"University of Cambridge",academic,1,0,0.0,0.00,56456991000
"Yeo, Tsinwen Wen",215003,"Nanyang Technological University",academic,1,0,0.0,0.00,14047528200

"© 2025 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
