Data set,"Authors collaborating with Wang, Wenxiong"
Entity,"Wang, Wenxiong"
Year range,2022 to 2025
Subject classification,"ASJC"
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,16 July 2025
Date exported,28 July 2025

Author numbers,<= 10

Author,Institution ID,Institution,Sector,Co-authored publications,Citations,Citations per Publication,Field-Weighted Citation Impact,Scopus author ID
"Huang, Zhoubing",203357,"Guizhou Medical University",academic,1,11,11.0,0.89,56070968200
"Hung, Takfu",205002,"City University of Hong Kong",academic,1,8,8.0,0.65,7103293856
"Huo, Shouliang",203013,"Beijing Normal University",academic,1,32,32.0,1.02,13905143200
"Jantarat, Sitthisak",216009,"Prince of Songkla University",academic,1,9,9.0,1.49,25823313400
"Jiang, Guibing Bin",203065,"University of Chinese Academy of Sciences",academic,1,49,49.0,4.86,57193618515
"Jin, Qianqian",205002,"City University of Hong Kong",academic,1,9,9.0,0.73,57260189200
"Jin, Yangxin",205002,"City University of Hong Kong",academic,1,33,33.0,1.92,56387881100
"Ke, Yizhou",203111,"Jimei University",academic,1,3,3.0,0.37,56810395500
"Lam, Jacky Wing Yip",205005,"Hong Kong University of Science and Technology",academic,1,12,12.0,0.72,7201972955
"Lam, Jason Chun Ho",205002,"City University of Hong Kong",academic,1,33,33.0,1.92,57193525410
"Larssen, Thorjørn",326022,"Norwegian Institute for Water Research",government,1,49,49.0,4.86,7003726514
"Lee, Patrick K.H.",205002,"City University of Hong Kong",academic,1,8,8.0,1.48,8616437100
"Leung, Kenneth M.Y.",205002,"City University of Hong Kong",academic,1,8,8.0,1.48,7401860738
"Li, Xiaomin",203008,"Beihang University",academic,1,36,36.0,1.89,36009072200
"Li, Yang",203112,"Jinan University",academic,1,7,7.0,0.86,57225006181
"Li, Yingdong",700714,"Chinese Academy of Sciences",government,1,10,10.0,0.83,57201483332
"Liang, Dingyuan",203008,"Beihang University",academic,1,0,0.0,0.00,57200135353
"Lim, Apiradee",216009,"Prince of Songkla University",academic,1,9,9.0,1.49,7202659046
"Lin, Chejen",508098,"Lamar University",academic,1,49,49.0,4.86,35262666500
"Lin, Shengying",205005,"Hong Kong University of Science and Technology",academic,1,9,9.0,1.80,57699701100
"Liu, Hongbin",205005,"Hong Kong University of Science and Technology",academic,1,10,10.0,0.83,8726071200
"Liu, Jingjing",203130,"Nanjing University of Aeronautics and Astronautics",academic,1,4,4.0,0.86,56553531400
"Liu, Kaixin",205002,"City University of Hong Kong",academic,1,33,33.0,1.92,57476090300
"Liu, Wei",725023,"City University of Hong Kong Shenzhen Research Institute",academic,1,26,26.0,1.41,57421636800
"Liu, Xiaolin",508285,"University of Illinois at Urbana-Champaign",academic,1,12,12.0,0.72,57203963481
"Liu, Yuan",508768,"Wadsworth Center for Laboratories and Research",government,1,4,4.0,0.44,57202815544
"Lu, Yichun",205002,"City University of Hong Kong",academic,1,9,9.0,0.73,57218254863
"Luo, Fan",203190,"South China University of Technology",academic,1,37,37.0,3.66,58592820100
"Lyu, Shaoliang",205002,"City University of Hong Kong",academic,1,9,9.0,0.62,57473493700
"Ma, Lan",508260,"University of California at Davis",academic,1,17,17.0,2.68,57223145674
"Ma, Xiaoli",205002,"City University of Hong Kong",academic,1,0,0.0,0.00,59319438300
"Matier, Carson D.",508191,"Princeton University",academic,1,3,3.0,0.65,57112449400
"Miao, Yanhao",205002,"City University of Hong Kong",academic,1,17,17.0,2.68,58165769400
"Mo, Jiezhang",203174,"Shantou University",academic,1,4,4.0,0.86,57216706659
"Nah, Theodora",205002,"City University of Hong Kong",academic,1,17,17.0,2.68,41561755900
"Pan, Ke",203182,"Shenzhen University",academic,1,20,20.0,1.08,57201499272
"Parodi, Alessandro",720598,"Sirius University of Science and Technology",academic,1,7,7.0,1.80,55516359500
"Pei, Lingyu",205005,"Hong Kong University of Science and Technology",academic,1,12,12.0,0.72,57221709497
"Peijnenburg, Willie J.G.M.",325005,"Leiden University",academic,1,0,0.0,0.00,7004188198
"Peng, Boyu",203208,"Tongji University",academic,1,2,2.0,3.18,57189460156
"Pezacki, Aidan T.",508191,"Princeton University",academic,1,3,3.0,0.65,57935272200
"Qiao, Kun",205002,"City University of Hong Kong",academic,1,2,2.0,3.18,59394873900
"Ren, Yuan",203190,"South China University of Technology",academic,1,9,9.0,0.73,15754602300
